model,prompt,vignette,predictor,Estimate,SE,z,p_value,p_adj
qwen,ignore,3,prototypic_z,-0.0631334404816191,0.0810456765482385,-0.7789859147395974,0.4359880119871289,0.5451788672536922
qwen,ignore,3,race_ambiguity_z,-0.1585594966883655,0.2113098175683931,-0.7503650256905157,0.4530348890511583,0.5451788672536922
qwen,ignore,3,age_rated_z,0.1157774491119982,0.071776248833643,1.6130328763813977,0.1067373653653877,0.5451788672536922
qwen,ignore,3,luminance_z,-0.1336969756777789,0.1786820658601043,-0.7482394779476881,0.4543157227114102,0.5451788672536922
qwen,ignore,3,raceB,-0.687870193031438,0.5372627455004094,-1.280323638280097,0.2004313375635768,0.5451788672536922
qwen,ignore,3,raceI,-0.4155654612864209,0.4073898995700126,-1.020068150253694,0.3076961406634667,0.5451788672536922
qwen,ignore,3,raceL,-0.4890548426994148,0.3430676393265263,-1.425534753611489,0.1540026814632949,0.5451788672536922
qwen,ignore,3,raceW,-0.4898171518045395,0.5279085306504574,-0.9278447370437756,0.3534881140410562,0.5451788672536922
qwen,ignore,3,genderM,-0.1707668279042455,0.1558358025786105,-1.0958125480702872,0.273160816022381,0.5451788672536922
qwen,baseline,3,threatening_z,-0.0626902209357377,0.1165579050815138,-0.5378461537370273,0.5906832653443267,0.8032283422993526
qwen,baseline,3,trustworthy_z,-0.0840815293810275,0.1214027948907481,-0.692583144042882,0.4885711914496485,0.8032283422993526
qwen,baseline,3,attractive_z,-0.0502272920959196,0.1008114046822296,-0.4982302573229932,0.6183217583638487,0.8032283422993526
qwen,baseline,3,prototypic_z,0.036485377179484,0.0810475109494742,0.4501727042824217,0.652585916314652,0.8032283422993526
qwen,baseline,3,race_ambiguity_z,0.0525538661678979,0.2109146740148406,0.2491712177607903,0.8032283422993526,0.8032283422993526
qwen,baseline,3,age_rated_z,0.0848723727336538,0.0713139343063269,1.1901232705671103,0.2339979452131207,0.8032283422993526
qwen,baseline,3,luminance_z,0.0646284012528551,0.1779649133431175,0.3631524890990797,0.7164909765024357,0.8032283422993526
qwen,baseline,3,raceB,0.1922068204430619,0.535008512125776,0.3592593689385557,0.719401066974035,0.8032283422993526
qwen,baseline,3,raceI,0.1881194551570965,0.4066654526978161,0.4625902050668754,0.6436581308499072,0.8032283422993526
qwen,baseline,3,raceL,0.0969190906594411,0.3420785930196852,0.2833240449333345,0.7769284469097186,0.8032283422993526
qwen,baseline,3,raceW,0.1481698866131631,0.5271705776586969,0.281066305466486,0.7786595441843304,0.8032283422993526
qwen,baseline,3,genderM,-0.1200206840519316,0.1556095478050468,-0.7712938296196187,0.4405327889178579,0.8032283422993526
llama,acknowledge,3,threatening_z,-0.2869537811587542,0.1216891667322401,-2.3580881426376727,0.0183693307465776,0.11021598447946561
llama,acknowledge,3,trustworthy_z,-0.2672468914539767,0.1266775161620712,-2.1096631789974545,0.0348873782082594,0.1395495128330376
llama,acknowledge,3,attractive_z,0.143148422591496,0.1029406813346725,1.3905913651970432,0.1643493762482216,0.39443850299573185
