Estimate,Std. Error,z value,Pr(>|z|),model,prompt,vignette,predictor
-0.5305413249176539,2.113049395442071,-0.25107852474345943,0.8017533989673544,qwen,baseline,10,raceI
-2.5072395431381937,1.4997654709997112,-1.6717544120194487,0.09457275971383106,qwen,baseline,10,raceL
-1.8517026362219344,2.101625184634992,-0.881081293543566,0.37827382134117354,qwen,baseline,10,raceW
0.13882744302126127,0.5401369179076603,0.2570226889119893,0.7971612580736052,qwen,baseline,10,genderM
0.05995538134878864,0.3423262317950607,0.17514106656214976,0.8609687904886579,qwen,baseline,11,(Intercept)
-0.010006768071589293,0.12542648858457972,-0.07978193589340069,0.9364106915893012,qwen,baseline,11,threatening_z
-0.13865494114694643,0.1307718228420073,-1.0602814745074185,0.2890165646253701,qwen,baseline,11,trustworthy_z
0.14187988841745724,0.10866604894517709,1.305650566986537,0.19167141571336505,qwen,baseline,11,attractive_z
0.11840215806767368,0.08734026655738715,1.3556422797253227,0.17521301266643438,qwen,baseline,11,prototypic_z
0.08738303311918086,0.22748533287383765,0.38412600942339914,0.7008850548020837,qwen,baseline,11,race_ambiguity_z
-0.07042821530354072,0.07657264246043624,-0.9197568875846196,0.3576998173236916,qwen,baseline,11,age_rated_z
-0.1453901102390649,0.19122920713984712,-0.7602923863651236,0.4470798318619383,qwen,baseline,11,luminance_z
-0.24485659786984104,0.5717510895417977,-0.4282573349638381,0.6684637775753693,qwen,baseline,11,raceB
-0.2507067344831943,0.4375071872493458,-0.5730345507222732,0.5666213003729297,qwen,baseline,11,raceI
-0.04304742816873833,0.366653438598312,-0.11740631243853963,0.906538082067187,qwen,baseline,11,raceL
-0.36569177750389026,0.5679893222758926,-0.6438356552876547,0.5196820101365013,qwen,baseline,11,raceW
-0.09478420574666849,0.16697626312877487,-0.5676507784436962,0.5702721201924965,qwen,baseline,11,genderM
1.137080403507709,0.3461887705671059,3.2845675544155037,0.0010213900899269767,qwen,baseline,12,(Intercept)
0.24018610445288568,0.12648109066918542,1.898988245453217,0.05756602150716458,qwen,baseline,12,threatening_z
0.2241156363362466,0.13016022610148464,1.7218442457337608,0.08509773706513486,qwen,baseline,12,trustworthy_z
-0.049665457184486145,0.11045539869300225,-0.44964264103129464,0.6529681363770204,qwen,baseline,12,attractive_z
0.08238769927605599,0.08991701318835431,0.9162637453656715,0.35952857848620534,qwen,baseline,12,prototypic_z
0.32133552674916377,0.23132639489562148,1.3891001366020337,0.16480230224409495,qwen,baseline,12,race_ambiguity_z
0.029470015067182317,0.07995446321611807,0.3685849905279764,0.7124370848925851,qwen,baseline,12,age_rated_z
-0.3333151771636378,0.1942996434937225,-1.7154698339650152,0.08625912148638162,qwen,baseline,12,luminance_z
-0.20694298818006077,0.5748576080758256,-0.359989996257933,0.7188546145879928,qwen,baseline,12,raceB
-1.0515010692738163,0.43798386275352136,-2.400775824623375,0.016360355726990086,qwen,baseline,12,raceI
0.23415877755884779,0.37559290017506597,0.6234377099506009,0.532996923673837,qwen,baseline,12,raceL
0.3307659423667163,0.577350212903963,0.5729034734446979,0.5667100526386171,qwen,baseline,12,raceW
-0.3118208907540397,0.1684557882429622,-1.851054772331737,0.06416167377634083,qwen,baseline,12,genderM
